As Of Date,Complaint Id,Tax ID,CCRB Substantiated Officer Disposition,Board Discipline Recommendation,Non-APU NYPD Penalty Report Date,Officer is_APU,APU CCRB Trial Recommended Penalty,APU Trial Commissioner Recommended Penalty,APU Plea Agreed Penalty,APU Case Status,APU Closing Date,NYPD Officer Penalty
11/25/2023,200604488,934076,Substantiated (Charges),,10/28/2007,No,,,,,,No penalty
11/25/2023,201308713,951959,Substantiated (Command Discipline),,,No,,,,,,
11/25/2023,202201555,970554,Substantiated (Command Discipline A),Substantiated (Command Discipline A),07/28/2023,No,,,,,,Command Discipline - A (Vacation: 1 day)
11/25/2023,201409828,930557,Substantiated (Charges),,,Yes,,,Forfeit vacation 18 days,Closed: Resolved by plea,01/24/2017,Forfeit vacation 18 days
11/25/2023,200604502,924208,Substantiated (Command Discipline),,10/28/2007,No,,,,,,Command Discipline - A
11/25/2023,200508831,919133,Substantiated (Charges),,12/28/2006,No,,,,,,Command Discipline - B
11/25/2023,202203914,959251,Substantiated (Command Discipline A),Substantiated (Command Discipline A),,No,,,,,,
11/25/2023,201604699,945645,Substantiated (Command Discipline B),,11/28/2017,No,,,,,,No penalty
11/25/2023,201602826,936497,Substantiated (Formalized Training),,05/28/2017,No,,,,,,Formalized Training
11/25/2023,201306001,920806,Substantiated (Charges),,,Yes,Forfeit vacation 5 days,,,Closed: Not guilty after trial,10/15/2015,
11/25/2023,200310137,923805,Substantiated (Command Discipline),,01/28/2005,No,,,,,,Command Discipline - A
11/25/2023,201907621,950834,Substantiated (Command Lvl Instructions),,10/28/2021,No,,,,,,Formalized Training
11/25/2023,201908117,963904,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Closed: SOL Expired in APU,09/13/2022,
11/25/2023,201906368,954081,Substantiated (Command Discipline A),,07/28/2021,No,,,,,,Command Discipline - A
11/25/2023,200712397,931783,Substantiated (Charges),,12/28/2009,No,,,,,,
11/25/2023,201902222,960275,Substantiated (Charges),,,Yes,Terminated,,,Closed: Not guilty after trial,08/16/2023,
11/25/2023,200410738,896426,Substantiated (Charges),,03/28/2006,No,,,,,,Instructions
11/25/2023,200106841,900828,Substantiated (Charges),,03/28/2003,No,,,,,,
11/25/2023,202104100,956315,Substantiated (Command Discipline A),Substantiated (Command Discipline A),01/28/2023,No,,,,,,Command Discipline - A
11/25/2023,200504308,891259,Substantiated (Charges),,09/28/2006,No,,,,,,
11/25/2023,200712883,940973,Substantiated (Command Discipline),,02/28/2009,No,,,,,,No penalty
11/25/2023,200300746,910137,Substantiated (Command Discipline),,04/28/2004,No,,,,,,Command Discipline - B
11/25/2023,200610819,922277,Substantiated (Charges),,02/28/2008,No,,,,,,
11/25/2023,202102984,963385,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,202004031,965849,Substantiated (Command Discipline A),Substantiated (Command Discipline A),11/28/2022,No,,,,,,No penalty
11/25/2023,202107397,923826,Substantiated (Formalized Training),Substantiated (Formalized Training),06/28/2023,No,,,,,,Formalized Training
11/25/2023,202103105,950021,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201503380,951143,Substantiated (Formalized Training),,07/28/2016,No,,,,,,Formalized Training
11/25/2023,201908527,907595,Substantiated (Command Discipline A),,12/28/2019,No,,,,,,Command Discipline - A
11/25/2023,200206899,927153,Substantiated (Charges),,01/28/2005,No,,,,,,No penalty
11/25/2023,201114577,913526,Substantiated (Charges),,04/28/2013,No,,,,,,Command Discipline - B
11/25/2023,202100012,962135,Substantiated (Command Discipline B),Substantiated (Command Discipline B),07/28/2022,No,,,,,,No penalty
11/25/2023,202201515,953991,Substantiated (Command Discipline A),Substantiated (Command Discipline A),08/28/2023,No,,,,,,Command Discipline - A
11/25/2023,200613480,906515,Substantiated (Charges),,06/28/2011,No,,,,,,Vacation: 40 days
11/25/2023,201605625,957525,Substantiated (Command Discipline A),,11/28/2017,No,,,,,,Formalized Training
11/25/2023,201601576,905669,Substantiated (Command Discipline A),,05/28/2017,No,,,,,,Command Discipline - A
11/25/2023,200803862,923631,Substantiated (Charges),,08/28/2009,No,,,,,,Command Discipline - B
11/25/2023,200108295,894382,Substantiated (Charges),,02/28/2003,No,,,,,,Command Discipline - A
11/25/2023,202005648,957891,Substantiated (Command Discipline A),Substantiated (Command Discipline A),11/28/2022,No,,,,,,No penalty
11/25/2023,200812679,938303,Substantiated (Command Discipline),,02/28/2010,No,,,,,,Instructions
11/25/2023,201201095,943816,Substantiated (Charges),,,Yes,Forfeit vacation 8 days,Forfeit vacation 5 days,,Closed: Guilty after trial,02/09/2015,Forfeit vacation 3 days
11/25/2023,201201037,948830,Substantiated (Charges),,06/28/2013,No,,,,,,Command Discipline - B
11/25/2023,200802817,936072,Substantiated (Charges),,08/28/2009,No,,,,,,No penalty
11/25/2023,201507511,953127,Substantiated (Formalized Training),,03/28/2017,No,,,,,,No penalty
11/25/2023,202104710,934414,Substantiated (Command Discipline A),Substantiated (Command Discipline A),03/28/2023,No,,,,,,No penalty
11/25/2023,202101053,954734,Substantiated (Command Discipline A),Substantiated (Command Discipline A),07/28/2022,No,,,,,,Command Discipline - A
11/25/2023,200606723,930988,Substantiated (Charges),,11/28/2007,No,,,,,,Instructions
11/25/2023,201907390,934831,Substantiated (Formalized Training),,09/28/2021,No,,,,,,Formalized Training
11/25/2023,200308604,914550,Substantiated (Charges),,05/28/2005,No,,,,,,No penalty
11/25/2023,201016064,942285,Substantiated (Charges),,05/28/2012,No,,,,,,Instructions
11/25/2023,201110297,945718,Substantiated (Charges),,02/28/2013,No,,,,,,No penalty
11/25/2023,201808920,957149,Substantiated (Command Lvl Instructions),,03/28/2020,No,,,,,,Instructions
11/25/2023,201601217,954405,Substantiated (Formalized Training),,11/28/2016,No,,,,,,Formalized Training
11/25/2023,200507325,930529,Substantiated (Charges),,12/28/2006,No,,,,,,Command Discipline - A
11/25/2023,201509503,952037,Substantiated (Command Discipline B),,04/28/2017,No,,,,,,Command Discipline - A
11/25/2023,202106152,951225,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201500681,948841,Substantiated (Formalized Training),,02/28/2016,No,,,,,,Formalized Training
11/25/2023,202204476,971446,Substantiated (Command Discipline B),Substantiated (Command Discipline B),,No,,,,,,
11/25/2023,202003619,945272,Substantiated (Command Discipline A),Substantiated (Command Discipline A),10/28/2022,No,,,,,,No penalty
11/25/2023,201600778,955610,Substantiated (Formalized Training),,,No,,,,,,
11/25/2023,200308833,924115,Substantiated (Charges),,08/28/2005,No,,,,,,Vacation: 20 days
11/25/2023,200800389,940125,Substantiated (Charges),,11/28/2012,No,,,,,,Vacation: 35 days
11/25/2023,200308197,925420,Substantiated (Command Discipline),,01/28/2005,No,,,,,,Command Discipline - A
11/25/2023,201810270,964760,Substantiated (Formalized Training),,05/28/2020,No,,,,,,Formalized Training
11/25/2023,201903723,947478,Substantiated (Formalized Training),,01/28/2021,No,,,,,,Formalized Training
11/25/2023,200301554,897863,Substantiated (Charges),,05/28/2005,No,,,,,,No penalty
11/25/2023,202102243,953461,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201502560,903537,Substantiated (Charges),,,Yes,,,Forfeit vacation 4 days,Closed: Resolved by plea,08/11/2016,Forfeit vacation 4 days
11/25/2023,200104756,904352,Substantiated (Charges),,09/28/2003,No,,,,,,
11/25/2023,201905329,943816,Substantiated (Command Discipline A),Substantiated (Command Discipline A),08/28/2021,No,,,,,,Command Discipline - A
11/25/2023,202200074,963215,Substantiated (Command Discipline A),Substantiated (Command Discipline A),06/28/2023,No,,,,,,Command Discipline - A
11/25/2023,202107193,899501,Substantiated (Command Discipline B),Substantiated (Command Discipline B),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,200807987,934833,Substantiated (Charges),,11/28/2009,No,,,,,,
11/25/2023,201202858,931458,Substantiated (Charges),,07/28/2013,No,,,,,,Command Discipline - B
11/25/2023,200506095,920400,Substantiated (Command Discipline),,10/28/2006,No,,,,,,Instructions
11/25/2023,202007818,967512,Substantiated (Command Discipline A),Substantiated (Command Discipline A),06/28/2022,No,,,,,,No penalty
11/25/2023,200510525,917163,Substantiated (Charges),,07/28/2008,No,,,,,,Vacation: 30 days / Probation:
11/25/2023,201213052,934654,Substantiated (Command Discipline),,03/28/2014,No,,,,,,No penalty
11/25/2023,200303525,914827,Substantiated (Charges),,08/28/2006,No,,,,,,No penalty
11/25/2023,202100330,948658,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,202102845,943075,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,200307623,899313,Substantiated (Charges),,11/28/2004,No,,,,,,Command Discipline - A
11/25/2023,200801787,923277,Substantiated (Charges),,07/28/2009,No,,,,,,No penalty
11/25/2023,202004800,916960,Substantiated (Command Discipline B),Substantiated (Command Discipline B),04/28/2022,No,,,,,,No penalty
11/25/2023,202107483,967659,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201907279,941195,Substantiated (Command Discipline B),,09/28/2021,No,,,,,,Formalized Training
11/25/2023,201800572,948894,Substantiated (Command Discipline A),,06/28/2019,No,,,,,,Command Discipline - A
11/25/2023,200901903,935216,Substantiated (Charges),,07/28/2010,No,,,,,,Command Discipline - B
11/25/2023,200718473,921202,Substantiated (Charges),,06/28/2009,No,,,,,,Instructions
11/25/2023,200606194,935393,Substantiated (Command Discipline),,08/28/2007,No,,,,,,No penalty
11/25/2023,201209521,949713,Substantiated (Charges),,,Yes,,,Instructions,"Closed: Plea set aside, Instructions",11/05/2014,Instructions
11/25/2023,201505505,933767,Substantiated (Command Discipline A),,,No,,,,,,
11/25/2023,200604236,934440,Substantiated (Command Discipline),,10/28/2007,No,,,,,,No penalty
11/25/2023,202003576,953735,Substantiated (Command Discipline A),Substantiated (Command Discipline A),01/28/2023,No,,,,,,No penalty
11/25/2023,201506349,945619,Substantiated (Formalized Training),,08/28/2016,No,,,,,,Formalized Training
11/25/2023,201607782,954096,Substantiated (Command Discipline A),,03/28/2018,No,,,,,,Instructions
11/25/2023,201806269,898059,Substantiated (Command Discipline B),,01/28/2020,No,,,,,,Command Discipline - B
11/25/2023,201405978,928139,Substantiated (Charges),,,Yes,,,Forfeit vacation 5 days,Closed: Resolved by plea,12/20/2016,Forfeit vacation 5 days / Formalized Training
11/25/2023,202105528,966599,Substantiated (Command Discipline A),Substantiated (Command Discipline A),03/28/2023,No,,,,,,Command Discipline - A (Vacation: 5 days)
11/25/2023,201904908,955258,Substantiated (Command Lvl Instructions),,12/28/2020,No,,,,,,Formalized Training
11/25/2023,201410021,940827,Substantiated (Command Discipline B),,03/28/2016,No,,,,,,No penalty
11/25/2023,200400820,914194,Substantiated (Charges),,04/28/2005,No,,,,,,Instructions
11/25/2023,202105035,954927,Substantiated (Command Discipline A),Substantiated (Command Discipline B),03/28/2023,No,,,,,,Command Discipline - B (Vacation: 1 day)
11/25/2023,200710865,937658,Substantiated (Command Discipline),,01/28/2009,No,,,,,,Command Discipline - A
11/25/2023,201602190,941345,Substantiated (Formalized Training),,05/28/2017,No,,,,,,Formalized Training
11/25/2023,202202821,968002,Substantiated (Command Discipline B),Substantiated (Command Discipline B),08/28/2023,No,,,,,,Command Discipline - B (Vacation: 5 days)
11/25/2023,201703122,940778,Substantiated (Command Discipline A),,07/28/2018,No,,,,,,Command Discipline - A
11/25/2023,200007726,886844,Substantiated (Charges),,,No,,,,,,
11/25/2023,200509835,926373,Substantiated (Charges),,12/28/2007,No,,,,,,
11/25/2023,201005116,883298,Substantiated (Instructions),,09/28/2011,No,,,,,,Instructions
11/25/2023,202002745,947981,Substantiated (Command Discipline A),Substantiated (Command Discipline A),01/28/2023,No,,,,,,No penalty
11/25/2023,202003482,941316,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Closed: Charges not served,07/26/2023,
11/25/2023,201111853,928606,Substantiated (Instructions),,02/28/2013,No,,,,,,No penalty
11/25/2023,200716565,923793,Substantiated (Charges),,05/28/2009,No,,,,,,Command Discipline - B
11/25/2023,201908805,962583,Substantiated (Command Lvl Instructions),,03/28/2021,No,,,,,,Instructions
11/25/2023,202100819,952241,Substantiated (Command Discipline B),Substantiated (Command Discipline B),06/28/2022,No,,,,,,No penalty
11/25/2023,200403560,928515,Substantiated (Command Discipline),,05/28/2005,No,,,,,,Instructions
11/25/2023,202103548,963620,Substantiated (Command Discipline A),Substantiated (Command Discipline B),07/28/2022,No,,,,,,No penalty
11/25/2023,201909139,960033,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,200615552,938586,Substantiated (Command Discipline),,05/28/2008,No,,,,,,No penalty
11/25/2023,201403223,902123,Substantiated (Command Discipline A),,10/28/2015,No,,,,,,Formalized Training
11/25/2023,201213426,925940,Substantiated (Charges),,,Yes,,,Forfeit vacation 5 days,Closed: Resolved by plea,02/27/2015,Forfeit vacation 5 days
11/25/2023,201501752,929657,Substantiated (Formalized Training),,05/28/2016,No,,,,,,Instructions
11/25/2023,201910753,945658,Substantiated (Command Discipline B),,12/28/2021,No,,,,,,Command Discipline - B (Vacation: 6 days)
11/25/2023,202208240,962258,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201200925,936962,Substantiated (Command Discipline),,06/28/2013,No,,,,,,Instructions
11/25/2023,200703375,917233,Substantiated (Charges),,08/28/2008,No,,,,,,No penalty
11/25/2023,201213670,948143,Substantiated (Charges),,,Yes,Forfeit vacation 3 days,,,Closed: Not guilty after trial but Discipline Imposed,06/22/2015,Formalized Training
11/25/2023,200800463,939051,Substantiated (Command Discipline),,06/28/2009,No,,,,,,Command Discipline - B
11/25/2023,200710383,940701,Substantiated (Command Discipline),,01/28/2009,No,,,,,,Command Discipline - B
11/25/2023,201111179,947904,Substantiated (Command Discipline),,01/28/2013,No,,,,,,Instructions
11/25/2023,200908739,943744,Substantiated (Charges),,11/28/2010,No,,,,,,Command Discipline - B
11/25/2023,201301574,949961,Substantiated (Command Discipline),,07/28/2014,No,,,,,,Instructions
11/25/2023,202002726,945645,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Closed: Charges not served,06/20/2023,
11/25/2023,201909838,961822,Substantiated (Command Discipline A),Substantiated (Command Discipline A),12/28/2021,No,,,,,,Command Discipline - A
11/25/2023,201909068,956330,Substantiated (Formalized Training),,01/28/2021,No,,,,,,Closed Administratively (No penalty reported)
11/25/2023,201608412,914984,Substantiated (Command Discipline A),,04/28/2018,No,,,,,,Command Discipline - A
11/25/2023,202106439,947082,Substantiated (Command Discipline A),Substantiated (Command Discipline B),04/28/2023,No,,,,,,Command Discipline - B
11/25/2023,202004415,948690,Substantiated (Command Discipline B),Substantiated (Command Discipline B),08/28/2022,No,,,,,,No penalty
11/25/2023,201809080,956229,Substantiated (Formalized Training),,12/28/2019,No,,,,,,Instructions
11/25/2023,201209010,943193,Substantiated (Charges),,,Yes,Forfeit vacation 7 days,Forfeit vacation 10 days,,Closed: Guilty after trial,02/27/2015,Forfeit vacation 10 days
11/25/2023,201013421,928092,Substantiated (Charges),,03/28/2012,No,,,,,,Instructions
11/25/2023,200602313,897100,Substantiated (Charges),,08/28/2007,No,,,,,,No penalty
11/25/2023,200405325,889500,Substantiated (Charges),,10/28/2005,No,,,,,,Instructions
11/25/2023,201503830,928956,Substantiated (Command Discipline A),,04/28/2016,No,,,,,,Command Discipline - A
11/25/2023,201503341,925036,Substantiated (Command Discipline A),,07/28/2016,No,,,,,,Command Discipline - A
11/25/2023,201404985,945630,Substantiated (Command Discipline B),,11/28/2015,No,,,,,,Command Discipline - A / Command Level Instructions
11/25/2023,202006433,962002,Substantiated (Command Discipline B),Substantiated (Command Discipline B),05/28/2022,No,,,,,,Command Discipline - B (Vacation: 10 days)
11/25/2023,202003770,960108,Substantiated (Charges),Substantiated (Charges),,Yes,,,Command Discipline B 10 days,Closed: Resolved by plea,07/12/2023,Forfeit vacation 10 days / Command Discipline B
11/25/2023,201101039,917846,Substantiated (Charges),,07/28/2012,No,,,,,,Instructions
11/25/2023,200908196,946685,Substantiated (Charges),,08/28/2010,No,,,,,,Command Discipline - B
11/25/2023,202006901,953903,Substantiated (Command Discipline A),Substantiated (Command Discipline A),10/28/2022,No,,,,,,No penalty
11/25/2023,201902318,957691,Substantiated (Command Discipline A),,09/28/2020,No,,,,,,Command Discipline - A
11/25/2023,200305619,925879,Substantiated (Charges),,10/28/2004,No,,,,,,Instructions
11/25/2023,202103919,943025,Substantiated (Command Discipline A),Substantiated (Command Discipline B),12/28/2022,No,,,,,,Command Discipline - B (Vacation: 2 days)
11/25/2023,202002669,955988,Substantiated (Command Discipline A),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,202106922,953656,Substantiated (Command Discipline A),Substantiated (Command Discipline B),05/28/2023,No,,,,,,No penalty
11/25/2023,201113215,948458,Substantiated (Command Discipline),,03/28/2013,No,,,,,,Instructions
11/25/2023,201907102,952354,Substantiated (Command Discipline A),Substantiated (Command Discipline A),09/28/2021,No,,,,,,Command Discipline - A
11/25/2023,200100452,897534,Substantiated (Charges),,09/28/2003,No,,,,,,
11/25/2023,202201753,954424,Substantiated (Command Discipline A),Substantiated (Command Discipline A),09/28/2023,No,,,,,,Command Discipline - A
11/25/2023,201900335,956340,Substantiated (Formalized Training),,08/28/2020,No,,,,,,Resigned
11/25/2023,202204730,963096,Substantiated (Command Discipline B),Substantiated (Command Discipline B),,No,,,,,,
11/25/2023,202101815,956461,Substantiated (Command Discipline B),Substantiated (Command Discipline B),09/28/2022,No,,,,,,Command Discipline - B (Vacation: 5 days)
11/25/2023,200301021,922293,Substantiated (Charges),,07/28/2004,No,,,,,,Command Discipline - A
11/25/2023,200504276,920813,Substantiated (Charges),,09/28/2008,No,,,,,,
11/25/2023,201808680,961850,Substantiated (Command Discipline A),,01/28/2020,No,,,,,,Command Discipline - A
11/25/2023,202107599,963983,Substantiated (Formalized Training),Substantiated (Formalized Training),03/28/2023,No,,,,,,Formalized Training
11/25/2023,202102262,964304,Substantiated (Formalized Training),Substantiated (Formalized Training),,No,,,,,,
11/25/2023,202103268,959954,Substantiated (Command Discipline A),Substantiated (Charges),02/28/2023,No,,,,,,
11/25/2023,202206124,921970,Substantiated (Command Discipline A),Substantiated (Command Discipline A),09/28/2023,No,,,,,,No penalty
11/25/2023,201402442,915657,Substantiated (No Recommendations),,08/28/2015,No,,,,,,Instructions
11/25/2023,200611469,935980,Substantiated (Instructions),,02/28/2008,No,,,,,,No penalty
11/25/2023,202202953,966577,Substantiated (Formalized Training),Substantiated (Formalized Training),,No,,,,,,
11/25/2023,201703268,956189,Substantiated (Command Discipline A),,10/28/2018,No,,,,,,No penalty
11/25/2023,202200443,961548,Substantiated (Command Discipline A),Substantiated (Command Discipline A),05/28/2023,No,,,,,,No penalty
11/25/2023,201802913,900703,Substantiated (Command Discipline B),,10/28/2019,No,,,,,,No penalty
11/25/2023,201412603,956219,Substantiated (Charges),,,Yes,Forfeit vacation 5 days,,,Closed: Not guilty after trial,12/22/2016,
11/25/2023,201505480,946153,Substantiated (Charges),,,Yes,Forfeit vacation 20 days,Forfeit vacation 6 days,,Closed: Guilty after trial,03/28/2017,Forfeit vacation 6 days
11/25/2023,200302514,928453,Substantiated (Charges),,05/28/2005,No,,,,,,No penalty
11/25/2023,201405057,949190,Substantiated (Command Discipline B),,11/28/2015,No,,,,,,Command Discipline - B
11/25/2023,202201952,952681,Substantiated (Command Discipline A),Substantiated (Command Discipline A),09/28/2023,No,,,,,,Command Discipline - A (Vacation: 0.50 days)
11/25/2023,202008209,940131,Substantiated (Command Discipline A),Substantiated (Command Discipline A),12/28/2022,No,,,,,,No penalty
11/25/2023,201404953,935991,Substantiated (Charges),,,Yes,Forfeit vacation 5 days,Forfeit vacation 3 days,,Closed: Guilty after trial,03/22/2016,Forfeit vacation 3 days
11/25/2023,201411610,952194,Substantiated (Command Discipline A),,,No,,,,,,
11/25/2023,201805446,960290,Substantiated (Formalized Training),,01/28/2020,No,,,,,,Formalized Training
11/25/2023,201305267,941148,Substantiated (Command Discipline),,12/28/2014,No,,,,,,Command Discipline - B
11/25/2023,200902418,938976,Substantiated (Command Discipline),,07/28/2010,No,,,,,,Command Discipline - B
11/25/2023,201707389,932991,Substantiated (Command Discipline A),,03/28/2019,No,,,,,,Command Discipline - A
11/25/2023,201709759,956820,Substantiated (Charges),,,Yes,Forfeit vacation 10 days,Forfeit vacation 10 days,,Closed: Not guilty after trial,05/05/2020,
11/25/2023,200505982,894781,Substantiated (Charges),,09/28/2006,No,,,,,,Command Discipline - A
11/25/2023,201312128,938942,Substantiated (Charges),,,Yes,Forfeit vacation 5 days,Forfeit vacation 5 days,,Closed: Guilty after trial,03/18/2016,Reprimand
11/25/2023,201809730,934997,Substantiated (Charges),,,Yes,,,,"Closed: Previously adjudicated, with discipline",01/13/2021,Forfeit vacation 10 days
11/25/2023,201306539,948997,Substantiated (Charges),,,Yes,Forfeit vacation 5 days,,,Closed: Not guilty after trial,07/28/2016,
11/25/2023,201904107,956196,Substantiated (Formalized Training),,08/28/2020,No,,,,,,Formalized Training
11/25/2023,201510469,947843,Substantiated (Command Discipline A),,06/28/2017,No,,,,,,Command Discipline - A
11/25/2023,202003405,943816,Substantiated (Formalized Training),Substantiated (Formalized Training),01/28/2023,No,,,,,,Formalized Training
11/25/2023,202102430,966505,Substantiated (Command Discipline A),Substantiated (Command Discipline A),,No,,,,,,
11/25/2023,202001332,930874,Substantiated (Formalized Training),Substantiated (Formalized Training),02/28/2022,No,,,,,,Formalized Training
11/25/2023,201905740,962688,Substantiated (Command Lvl Instructions),,08/28/2021,No,,,,,,Formalized Training
11/25/2023,201504901,933982,Substantiated (Formalized Training),,12/28/2016,No,,,,,,No penalty
11/25/2023,200910968,904979,Substantiated (Charges),,03/28/2012,No,,,,,,No penalty
11/25/2023,202200277,924884,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,202202524,966437,Substantiated (Command Discipline A),Substantiated (Command Discipline A),10/31/2023,No,,,,,,Command Discipline - A
11/25/2023,201906398,949084,Substantiated (Charges),Substantiated (Charges),,Yes,Forfeit vacation 32 days,,,Closed: Not guilty after trial,08/23/2022,
11/25/2023,201108564,926093,Substantiated (Charges),,12/28/2012,No,,,,,,No penalty
11/25/2023,200512782,901639,Substantiated (Command Discipline),,01/28/2007,No,,,,,,Instructions
11/25/2023,200307972,923363,Substantiated (Charges),,10/28/2004,No,,,,,,Command Discipline - A
11/25/2023,201502957,911295,Substantiated (Formalized Training),,,No,,,,,,
11/25/2023,201508493,948320,Substantiated (Formalized Training),,09/28/2016,No,,,,,,Formalized Training
11/25/2023,202202848,941209,Substantiated (Command Discipline A),Substantiated (Command Discipline A),09/28/2023,No,,,,,,Closed Administratively (Command Discipline - B) / Vacation: 8 days
11/25/2023,200715224,932283,Substantiated (Charges),,04/28/2009,No,,,,,,No penalty
11/25/2023,202201555,971302,Substantiated (Command Discipline A),Substantiated (Command Discipline B),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,202107674,932925,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,202005010,946048,Substantiated (Command Discipline A),Substantiated (Command Discipline A),08/28/2022,No,,,,,,Command Discipline - A
11/25/2023,201908017,959782,Substantiated (Command Discipline A),Substantiated (Command Discipline A),10/28/2021,No,,,,,,No penalty
11/25/2023,202002424,940106,Substantiated (Command Discipline A),Substantiated (Command Discipline A),06/28/2022,No,,,,,,Command Discipline - A
11/25/2023,202105545,963692,Substantiated (Command Discipline A),Substantiated (Command Discipline A),03/28/2023,No,,,,,,Command Discipline - A (Vacation: 1 day)
11/25/2023,201210772,924095,Substantiated (Instructions),,11/28/2013,No,,,,,,Instructions
11/25/2023,201116089,946719,Substantiated (Charges),,05/28/2013,No,,,,,,No penalty
11/25/2023,200004225,889934,Substantiated (Charges),,,No,,,,,,
11/25/2023,202008106,950130,Substantiated (Command Discipline A),Substantiated (Command Discipline B),10/28/2022,No,,,,,,No penalty
11/25/2023,202105168,939402,Substantiated (Command Discipline B),Substantiated (Command Discipline B),02/28/2023,No,,,,,,Command Discipline - B (Vacation: 5 days)
11/25/2023,201700728,907369,Substantiated (Command Discipline A),,10/28/2017,No,,,,,,Command Discipline - A
11/25/2023,201909958,955068,Substantiated (Command Discipline A),Substantiated (Command Discipline A),09/28/2021,No,,,,,,Command Discipline - A
11/25/2023,201300449,937160,Substantiated (Charges),,,Yes,Forfeit vacation 5 days,Forfeit vacation 1 days,,Closed: Guilty after trial,10/14/2015,Forfeit vacation 1 days
